theta_min,theta_max,p_min,p_max,dKdThetadP,Stat,Sys
0,20,0.8,1.6,2.1,0.5,0.1
0,20,1.6,2.4,2.8,0.4,0.2
0,20,2.4,3.2,4.6,0.6,0.2
0,20,3.2,4,3.7,0.7,0.2
0,20,4,4.8,3.5,0.6,0.2
0,20,4.8,5.6,3.8,0.7,0.2
0,20,5.6,6.4,4.3,0.7,0.3
0,20,6.4,7.6,3.5,0.6,0.3
0,20,7.6,8.8,3.1,0.7,0.3
0,20,8.8,10,3,0.7,0.3
0,20,10,11.6,3.2,0.6,0.4
0,20,11.6,13.2,2.3,1,0.4
0,20,13.2,14.8,1.4,1.3,0.3
0,20,14.8,16.4,1.6,1.6,0.4
20,40,0.8,1.6,4.3,0.6,0.2
20,40,1.6,2.4,7.6,0.6,0.3
20,40,2.4,3.2,10.6,0.8,0.4
20,40,3.2,4,11.9,0.9,0.5
20,40,4,4.8,12.2,1,0.5
20,40,4.8,5.6,12.9,1.1,0.6
20,40,5.6,6.4,10.3,1.1,0.5
20,40,6.4,7.6,9.7,0.9,0.5
20,40,7.6,8.8,8.6,0.9,0.6
20,40,8.8,10,8.5,0.8,0.8
20,40,10,11.6,5.8,0.7,0.8
20,40,11.6,13.2,4.1,0.7,0.7
20,40,13.2,14.8,3.7,0.7,0.8
20,40,14.8,16.4,2.4,0.6,0.5
40,60,0.8,1.6,10.4,1.3,0.4
40,60,1.6,2.4,10.9,1.1,0.3
40,60,2.4,3.2,15.7,1.4,0.4
40,60,3.2,4,19.9,1.6,0.5
40,60,4,4.8,19.5,1.6,0.5
40,60,4.8,5.6,17,1.6,0.5
40,60,5.6,6.4,17.4,1.6,0.6
40,60,6.4,7.6,13.8,1.2,0.6
40,60,7.6,8.8,10.7,1,0.6
40,60,8.8,10,9.2,0.9,0.7
40,60,10,11.6,6.5,0.7,0.6
40,60,11.6,13.2,3.7,0.6,0.5
40,60,13.2,14.8,2.5,0.5,0.4
40,60,14.8,16.4,1.7,0.4,0.3
40,60,16.4,18,0.4,0.2,0.1
40,60,18,19.6,0.4,0.2,0.1
60,100,0.8,1.6,9.7,1.1,0.3
60,100,1.6,2.4,20.5,1.4,0.6
60,100,2.4,3.2,20,1.3,0.5
60,100,3.2,4,23.3,1.4,0.6
60,100,4,4.8,19.8,1,0.6
60,100,4.8,5.6,16.5,0.9,0.5
60,100,5.6,6.4,16.1,0.9,0.5
60,100,6.4,7.6,11.6,0.7,0.5
60,100,7.6,8.8,7.8,0.6,0.4
60,100,8.8,10,5.2,0.5,0.3
60,100,10,11.6,3.2,0.4,0.2
60,100,11.6,13.2,1.2,0.2,0.1
60,100,13.2,14.8,0.9,0.2,0.1
60,100,14.8,16.4,0.3,0.1,0.04
100,140,0.8,1.6,16.9,2.2,0.6
100,140,1.6,2.4,27.7,2,0.8
100,140,2.4,3.2,26.3,1.4,0.7
100,140,3.2,4,20.7,1.2,0.6
100,140,4,4.8,18,1.1,0.5
100,140,4.8,5.6,11.8,0.9,0.4
100,140,5.6,6.4,8.6,0.8,0.3
100,140,6.4,7.6,5.2,0.5,0.2
100,140,7.6,8.8,3.1,0.5,0.2
100,140,8.8,10,1.5,0.4,0.1
100,140,10,11.6,0.6,0.2,0.05
100,140,11.6,13.2,0.3,0.1,0.03
140,180,0.8,1.6,18.1,4.1,0.6
140,180,1.6,2.4,24.2,1.9,0.7
140,180,2.4,3.2,23.7,1.7,0.6
140,180,3.2,4,18.2,1.4,0.5
140,180,4,4.8,8.8,1,0.2
140,180,4.8,5.6,5.6,0.8,0.2
140,180,5.6,6.4,4,0.7,0.1
140,180,6.4,7.6,1.6,0.4,0.1
140,180,7.6,8.8,0.6,0.3,0.03
140,180,8.8,10,0.2,0.1,0.01
180,240,0.8,1.6,22.9,3.3,0.8
180,240,1.6,2.4,24.9,2.4,0.8
180,240,2.4,3.2,14,1.6,0.4
180,240,3.2,4,11.5,1.4,0.3
180,240,4,4.8,5.4,1,0.1
180,240,4.8,5.6,2,0.6,0.1
180,240,5.6,6.4,2.4,0.8,0.1
180,240,6.4,7.6,0.4,0.2,0.02
240,300,0.8,1.6,24,3.2,0.7
240,300,1.6,2.4,17.4,2,0.5
240,300,2.4,3.2,10.2,1.4,0.3
240,300,3.2,4,5.5,1.2,0.1
240,300,4,4.8,2.2,0.8,0.1
240,300,4.8,5.6,0.5,0.3,0.01
